insee_com;annee;nb_mutations;nb_maisons;nb_apparts;prop_maison;prop_appart;prix_moyen;prix_m2_moyen;surface_moy;dep_code
75056;2024;24246;84.0;24162.0;100.0;0.0;507698;9674;51;75
77001;2024;17;17.0;0.0;0.0;100.0;339935;2956;122;77
77002;2024;14;14.0;0.0;0.0;100.0;181464;1820;102;77
77003;2024;6;6.0;0.0;0.0;100.0;309300;2662;119;77
77004;2024;1;1.0;0.0;0.0;100.0;347600;4574;76;77
77005;2024;30;22.0;8.0;27.0;73.0;342649;3719;97;77
77006;2024;11;11.0;0.0;0.0;100.0;342082;3398;110;77
77007;2024;2;2.0;0.0;0.0;100.0;275000;2353;118;77
77008;2024;3;3.0;0.0;0.0;100.0;319383;3870;85;77
77009;2024;3;3.0;0.0;0.0;100.0;158333;1603;102;77
77010;2024;3;3.0;0.0;0.0;100.0;173333;2141;83;77
77011;2024;2;2.0;0.0;0.0;100.0;206000;1466;142;77
77012;2024;7;7.0;0.0;0.0;100.0;150929;1604;97;77
77013;2024;3;3.0;0.0;0.0;100.0;371667;2233;165;77
77014;2024;220;32.0;188.0;85.0;15.0;195787;2979;68;77
77015;2024;1;1.0;0.0;0.0;100.0;130000;1857;70;77
77016;2024;6;6.0;0.0;0.0;100.0;127055;2138;70;77
77018;2024;77;41.0;36.0;47.0;53.0;345500;4365;82;77
77019;2024;3;3.0;0.0;0.0;100.0;126000;1398;93;77
77020;2024;4;4.0;0.0;0.0;100.0;219225;1636;137;77
77021;2024;4;4.0;0.0;0.0;100.0;240038;2070;114;77
77022;2024;25;21.0;4.0;16.0;84.0;685806;5110;136;77
77023;2024;8;8.0;0.0;0.0;100.0;194744;2319;88;77
77024;2024;1;1.0;0.0;0.0;100.0;260000;970;268;77
77025;2024;7;7.0;0.0;0.0;100.0;151041;1580;98;77
77026;2024;2;2.0;0.0;0.0;100.0;133000;1622;82;77
77027;2024;10;9.0;1.0;10.0;90.0;123827;1232;97;77
77029;2024;3;3.0;0.0;0.0;100.0;273833;2622;104;77
77030;2024;10;10.0;0.0;0.0;100.0;173030;1852;104;77
77031;2024;6;6.0;0.0;0.0;100.0;376650;2509;150;77
77032;2024;14;13.0;1.0;7.0;93.0;179929;1951;93;77
77033;2024;2;2.0;0.0;0.0;100.0;187500;1248;146;77
77034;2024;4;4.0;0.0;0.0;100.0;243475;2537;103;77
77035;2024;10;10.0;0.0;0.0;100.0;134401;1443;92;77
77037;2024;67;53.0;14.0;21.0;79.0;370903;3969;92;77
77038;2024;5;5.0;0.0;0.0;100.0;670200;3827;181;77
77039;2024;9;8.0;1.0;11.0;89.0;401028;3439;122;77
77040;2024;29;28.0;1.0;3.0;97.0;321145;2872;115;77
77041;2024;4;4.0;0.0;0.0;100.0;320175;2820;118;77
77042;2024;34;34.0;0.0;0.0;100.0;218145;2202;103;77
77043;2024;3;3.0;0.0;0.0;100.0;123933;1796;67;77
77044;2024;13;12.0;1.0;8.0;92.0;267461;2769;97;77
77045;2024;5;5.0;0.0;0.0;100.0;212722;2035;105;77
77046;2024;2;2.0;0.0;0.0;100.0;248400;2968;79;77
77047;2024;13;8.0;5.0;38.0;62.0;277262;3326;82;77
77048;2024;20;17.0;3.0;15.0;85.0;501264;4149;127;77
77049;2024;7;7.0;0.0;0.0;100.0;293143;2588;116;77
77050;2024;4;4.0;0.0;0.0;100.0;110000;1390;92;77
77051;2024;16;16.0;0.0;0.0;100.0;160743;1702;94;77
77052;2024;4;4.0;0.0;0.0;100.0;247000;2072;120;77
77053;2024;218;87.0;131.0;60.0;40.0;234305;3410;72;77
77054;2024;5;5.0;0.0;0.0;100.0;208670;2302;89;77
77055;2024;51;7.0;44.0;86.0;14.0;179017;2845;65;77
77056;2024;6;6.0;0.0;0.0;100.0;210375;1930;104;77
77057;2024;5;5.0;0.0;0.0;100.0;213700;1762;128;77
77058;2024;292;65.0;227.0;78.0;22.0;299239;4255;73;77
77059;2024;8;7.0;1.0;12.0;88.0;436123;4628;98;77
77060;2024;9;9.0;0.0;0.0;100.0;229689;1916;120;77
77061;2024;27;23.0;4.0;15.0;85.0;177724;2284;81;77
77062;2024;5;3.0;2.0;40.0;60.0;419521;4010;112;77
77063;2024;11;11.0;0.0;0.0;100.0;218157;2467;93;77
77065;2024;11;10.0;1.0;9.0;91.0;246409;2738;94;77
77066;2024;1;1.0;0.0;0.0;100.0;248341;2258;110;77
77067;2024;99;85.0;14.0;14.0;86.0;262426;2936;92;77
77068;2024;3;3.0;0.0;0.0;100.0;160000;1350;112;77
77069;2024;27;25.0;2.0;7.0;93.0;325744;3309;101;77
77070;2024;12;12.0;0.0;0.0;100.0;239182;2140;116;77
77071;2024;9;9.0;0.0;0.0;100.0;411205;2929;125;77
77072;2024;6;6.0;0.0;0.0;100.0;141380;1676;96;77
77073;2024;7;7.0;0.0;0.0;100.0;198029;1640;122;77
77075;2024;15;11.0;4.0;27.0;73.0;248575;3147;84;77
77076;2024;7;7.0;0.0;0.0;100.0;208571;1772;122;77
77077;2024;14;12.0;2.0;14.0;86.0;204786;2594;78;77
77078;2024;13;13.0;0.0;0.0;100.0;228900;1941;119;77
77079;2024;45;39.0;6.0;13.0;87.0;208280;2498;84;77
77080;2024;4;4.0;0.0;0.0;100.0;400125;2321;204;77
77081;2024;4;4.0;0.0;0.0;100.0;278250;2942;100;77
77082;2024;8;7.0;1.0;12.0;88.0;188646;2796;80;77
77083;2024;164;72.0;92.0;56.0;44.0;285766;3771;80;77
77084;2024;19;16.0;3.0;16.0;84.0;223211;2682;88;77
77085;2024;39;22.0;17.0;44.0;56.0;330916;3960;85;77
77086;2024;20;20.0;0.0;0.0;100.0;214572;2268;103;77
77087;2024;3;3.0;0.0;0.0;100.0;336000;2461;139;77
77088;2024;22;19.0;3.0;14.0;86.0;251436;2495;103;77
77089;2024;13;13.0;0.0;0.0;100.0;248731;2547;99;77
77090;2024;1;1.0;0.0;0.0;100.0;231000;2243;103;77
77091;2024;3;3.0;0.0;0.0;100.0;342350;2752;126;77
77093;2024;1;1.0;0.0;0.0;100.0;173000;2110;82;77
77094;2024;2;2.0;0.0;0.0;100.0;429450;3336;129;77
77095;2024;23;18.0;5.0;22.0;78.0;320999;3428;97;77
77096;2024;34;30.0;4.0;12.0;88.0;333413;3413;99;77
77098;2024;6;6.0;0.0;0.0;100.0;164750;1834;99;77
77099;2024;42;39.0;3.0;7.0;93.0;166517;1899;93;77
77100;2024;47;46.0;1.0;2.0;98.0;225851;2594;87;77
77101;2024;13;13.0;0.0;0.0;100.0;196787;1995;102;77
77103;2024;4;3.0;1.0;25.0;75.0;248246;3702;76;77
77104;2024;6;6.0;0.0;0.0;100.0;341525;3377;110;77
77106;2024;10;10.0;0.0;0.0;100.0;231140;2258;104;77
77107;2024;32;24.0;8.0;25.0;75.0;231025;2770;89;77
77108;2024;431;179.0;252.0;58.0;42.0;249588;3520;73;77
77109;2024;20;19.0;1.0;5.0;95.0;171106;1895;100;77
77110;2024;2;2.0;0.0;0.0;100.0;132500;1820;73;77
77111;2024;63;18.0;45.0;71.0;29.0;318617;4642;71;77
77112;2024;4;4.0;0.0;0.0;100.0;270138;2278;117;77
77113;2024;9;9.0;0.0;0.0;100.0;285167;2095;134;77
77114;2024;38;28.0;10.0;26.0;74.0;306534;3370;95;77
77115;2024;7;7.0;0.0;0.0;100.0;215732;2185;102;77
77116;2024;11;11.0;0.0;0.0;100.0;178227;1876;92;77
