commune,latitude,longitude,sport,source
Port-la-Nouvelle,43.0078,3.05401,tennis,equipement
Quillan,42.88546,2.19376,tennis,equipement
Trèbes,43.20538,2.44308,tennis,equipement
Vinassan,43.19814,3.07399,tennis,equipement
Decazeville,44.56269,2.24372,tennis,equipement
Millau,44.09252,3.05786,tennis,equipement
Monteils,44.26954,1.99355,tennis,equipement
Onet-le-Château,44.37533,2.56463,tennis,equipement
Rodez,44.37488,2.54021,tennis,equipement
La Rouquette,44.30802,1.97185,tennis,equipement
Aix-en-Provence,43.56906,5.41569,tennis,equipement
Allauch,43.33329,5.48168,tennis,equipement
Arles,43.67948,4.63899,tennis,equipement
Aubagne,43.3138152551,5.59538036585,tennis,equipement
Carry-le-Rouet,43.33872,5.15687,tennis,equipement
Ceyreste,43.21061,5.625787,tennis,equipement
Charleval,43.713487,5.246709,tennis,equipement
Châteaurenard,43.88176,4.86927,tennis,equipement
Cuges-les-Pins,43.272233,5.692277,tennis,equipement
La Fare-les-Oliviers,43.55634,5.19313,tennis,equipement
Gardanne,43.46297,5.47987,tennis,equipement
Grans,43.6028,5.07919,tennis,equipement
Istres,43.476,4.99473,tennis,equipement
Jouques,43.63545,5.63684,tennis,equipement
Mallemort,43.72391,5.18123,tennis,equipement
Martigues,43.424287,5.046597,tennis,equipement
Martigues,43.429198,5.049627,tennis,equipement
Mimet,43.42677,5.48706,tennis,equipement
Plan-d'Orgon,43.80991,5.0091,tennis,equipement
Port-de-Bouc,43.4185489169,4.99222666025,tennis,equipement
Rousset,43.48227,5.61897,tennis,equipement
Saintes-Maries-de-la-Mer,43.4537,4.433,tennis,equipement
Saint-Savournin,43.413385,5.525282,tennis,equipement
Septèmes-les-Vallons,43.40639,5.37341,tennis,equipement
Velaux,43.53581,5.24695,tennis,equipement
Vitrolles,43.432,5.2762,tennis,equipement
Marseille 8e Arrondissement,43.26662,5.39068,tennis,equipement
Marseille 8e Arrondissement,43.2681,5.38075,tennis,equipement
Marseille 8e Arrondissement,43.25721,5.38634,tennis,equipement
Marseille 11e Arrondissement,43.301454,5.493956,tennis,equipement
Marseille 12e Arrondissement,43.31266,5.45725,tennis,equipement
Marseille 15e Arrondissement,43.34502,5.35344,tennis,equipement
Valambray,49.1016103774,-0.150178670938,tennis,equipement
Amayé-sur-Orne,49.082255,-0.43375,tennis,equipement
Authie,49.20984,-0.43117,tennis,equipement
Baron-sur-Odon,49.133839,-0.479988,tennis,equipement
Beuvillers,49.13191,0.25437,tennis,equipement
Bourguébus,49.12323,-0.29572,tennis,equipement
Cabourg,49.29006,-0.125266,tennis,equipement
Cabourg,49.28666,-0.12238,tennis,equipement
Caen,49.20723,-0.38201,tennis,equipement
Cagny,49.1459675431,-0.262134075383,tennis,equipement
Courseulles-sur-Mer,49.3337640167,-0.453441739191,tennis,equipement
Deauville,49.361730963,0.0696693509872,tennis,equipement
Deauville,49.340737313,0.0791750997359,padel,equipement
Falaise,48.8954343796,-0.180914104203,tennis,equipement
Lisieux,49.146027,0.250219,tennis,equipement
Livarot-Pays-d'Auge,49.0023,0.14797,tennis,equipement
Mondeville,49.176057,-0.318323,tennis,equipement
Mondeville,49.16623,-0.32967,tennis,equipement
truestreham,49.28431,-0.254497,tennis,equipement
Touques,49.3481150419,0.0881677865436,tennis,equipement
Trouville-sur-Mer,49.369833,0.08031,tennis,equipement
