code_insee;commune;dep_code;region_nom;federation;total_f;total_h;total;F - 1 à 4 ans;F - 5 à 9 ans;F - 10 à 14 ans;F - 15 à 19 ans;F - 20 à 24 ans;F - 25 à 29 ans;F - 30 à 34 ans;F - 35 à 39 ans;F - 40 à 44 ans;F - 45 à 49 ans;F - 50 à 54 ans;F - 55 à 59 ans;F - 60 à 64 ans;F - 65 à 69 ans;F - 70 à 74 ans;F - 75 à 79 ans;F - 80 à 99 ans;F - NR;H - 1 à 4 ans;H - 5 à 9 ans;H - 10 à 14 ans;H - 15 à 19 ans;H - 20 à 24 ans;H - 25 à 29 ans;H - 30 à 34 ans;H - 35 à 39 ans;H - 40 à 44 ans;H - 45 à 49 ans;H - 50 à 54 ans;H - 55 à 59 ans;H - 60 à 64 ans;H - 65 à 69 ans;H - 70 à 74 ans;H - 75 à 79 ans;H - 80 à 99 ans;H - NR
75101;Paris 1er Arrondissement;75;Île-de-France;FF de Tennis;85;213;298;2;10;17;7;4;12;4;5;5;5;5;1;3;3;0;1;1;0;1;27;41;22;7;21;8;10;19;11;18;13;2;5;4;0;4;0
75101;Paris 1er Arrondissement;75;Île-de-France;FF de Tennis de Table;1;25;26;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;4;8;1;1;5;0;0;2;0;1;0;1;1;0;1;0;0
75102;Paris 2e Arrondissement;75;Île-de-France;FF de Tennis;85;254;339;1;11;22;7;2;9;4;7;7;5;4;5;1;0;0;0;0;0;6;21;47;15;14;28;30;16;17;20;17;13;6;2;2;0;0;0
75102;Paris 2e Arrondissement;75;Île-de-France;FF de Tennis de Table;8;58;66;0;1;4;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;4;28;1;1;2;3;5;4;4;0;2;0;3;0;1;0;0
75103;Paris 3e Arrondissement;75;Île-de-France;FF de Tennis;127;376;503;0;29;22;9;6;12;12;8;8;8;5;3;2;1;1;0;1;0;6;39;73;29;14;34;26;21;26;32;31;10;13;13;4;2;3;0
75103;Paris 3e Arrondissement;75;Île-de-France;FF de Tennis de Table;4;39;43;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;1;0;0;0;2;16;0;2;3;3;1;3;3;3;2;0;0;0;1;0;0
75104;Paris 4e Arrondissement;75;Île-de-France;FF de Tennis;138;339;477;2;25;38;7;8;13;5;6;12;8;6;2;1;3;1;1;0;0;3;51;55;33;12;30;34;15;23;21;18;14;11;3;10;4;2;0
75104;Paris 4e Arrondissement;75;Île-de-France;FF de Tennis de Table;2;22;24;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;8;1;1;2;3;2;3;0;0;0;0;1;0;0;0;0
75105;Paris 5e Arrondissement;75;Île-de-France;FF de Tennis;312;775;1087;3;40;67;27;21;16;21;13;20;30;19;10;6;11;3;1;4;0;2;81;161;76;54;57;44;37;47;61;49;40;21;12;18;12;3;0
75105;Paris 5e Arrondissement;75;Île-de-France;FF de Tennis de Table;5;57;62;0;0;0;0;1;0;0;2;1;0;0;0;1;0;0;0;0;0;0;4;11;6;3;6;4;3;3;5;3;3;3;0;3;0;0;0
75106;Paris 6e Arrondissement;75;Île-de-France;FF de Tennis;707;1321;2028;17;144;115;61;35;48;36;47;32;44;38;25;19;18;15;10;3;0;45;241;183;111;56;74;72;67;77;94;86;68;43;37;30;21;16;0
75106;Paris 6e Arrondissement;75;Île-de-France;FF de Tennis de Table;4;16;20;0;0;0;0;0;0;1;0;0;2;0;1;0;0;0;0;0;0;0;0;3;0;4;2;0;1;0;1;1;1;0;1;0;0;2;0
75107;Paris 7e Arrondissement;75;Île-de-France;FF de Tennis;770;1484;2254;12;118;154;105;30;38;29;32;60;50;42;40;21;11;15;5;8;0;13;195;315;164;67;87;43;63;90;101;102;84;47;27;32;33;21;0
75107;Paris 7e Arrondissement;75;Île-de-France;FF de Tennis de Table;2;30;32;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;8;4;4;4;3;3;0;0;2;0;0;0;0;0;1;0
75108;Paris 8e Arrondissement;75;Île-de-France;FF de Tennis;474;1032;1506;7;81;109;55;11;17;11;18;40;35;31;20;11;10;9;4;5;0;11;144;175;129;58;59;44;32;65;88;81;51;35;19;23;9;9;0
75108;Paris 8e Arrondissement;75;Île-de-France;FF de Tennis de Table;4;33;37;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;1;0;0;0;2;10;4;0;1;0;3;5;2;1;1;3;1;0;0;0;0
75109;Paris 9e Arrondissement;75;Île-de-France;FF de Tennis;270;746;1016;3;38;53;22;6;22;28;24;14;30;10;7;3;5;2;2;1;0;13;66;138;63;22;66;77;56;60;58;57;31;10;12;8;5;4;0
75109;Paris 9e Arrondissement;75;Île-de-France;FF de Tennis de Table;7;73;80;0;2;0;1;1;1;0;0;0;0;0;2;0;0;0;0;0;0;0;3;30;3;3;3;6;1;2;6;8;4;1;2;0;1;0;0
75110;Paris 10e Arrondissement;75;Île-de-France;FF de Tennis;242;732;974;3;34;53;18;7;25;29;20;12;17;7;6;3;5;1;1;1;0;2;90;141;53;24;75;85;71;52;52;26;28;11;14;3;4;1;0
